"","way_id","sessions","points"
"249",13854847,14,633
"250",13854848,9,425
"251",13860751,3,9
"252",13860800,7,45
"253",13860802,14,270
"254",14198008,7,254
"255",14326174,18,144
"256",14326182,16,348
"257",14326205,37,473
"258",14326256,22,279
"259",14326258,33,634
"260",14326464,25,985
"261",14326487,5,65
"262",14326493,35,1333
"263",14326558,43,2165
"264",14326572,63,1983
"265",14326733,31,1179
"266",14327260,9,331
"267",14327274,9,43
"268",14327318,13,204
"269",14327351,10,1038
"270",14327438,1,1
"271",14327505,10,174
"272",14327522,4,135
"273",14327545,5,286
"274",14327867,13,437
"275",14327868,6,240
"276",14327876,9,1220
"277",14328357,7,421
"278",14328446,15,1282
"279",14328480,10,342
"280",14328502,11,238
"281",14328519,12,681
"282",14328611,5,10
"283",14329021,19,839
"284",14329086,27,2172
"285",14329124,25,375
"286",14333207,3,9
"287",14333264,13,33
"288",14333276,2,70
"289",14333321,8,415
"290",14333465,3,331
"291",14333500,3,88
"292",14333954,6,208
"293",14333980,2,203
"294",14334037,1,1
"295",14334057,4,15
"296",14334086,1,1
"297",14334141,1,23
"298",14334161,3,35
"299",14334228,4,55
"300",14334234,1,14
"301",14334358,3,162
"302",14334376,1,44
"303",23393871,2,52
"304",23393876,4,192
"305",23786728,9,292
"306",23786730,7,279
"307",23786733,2,13
"308",24812056,42,134
"309",25254043,24,854
"310",25410272,32,541
"311",25410287,39,138
"312",25410297,41,894
"313",25410462,2,6
"314",25410493,27,315
"315",25410513,53,228
"316",25410521,2,35
"317",25700630,2,94
"318",26119844,35,2811
"319",26119862,4,131
"320",26119880,20,185
"321",26119900,48,1200
"322",26119992,21,4088
"323",26207695,1,28
"324",26207794,31,13659
"325",26207889,2,15
"326",26248548,2,211
"327",26248551,8,360
"328",26248552,12,28
"329",26248554,8,181
"330",26248559,136,8047
"331",26248563,9,57
"332",26248564,67,1650
"333",26248565,18,719
"334",26248567,8,148
"335",26621084,5,170
"336",27009797,4,122
"337",27009803,1,4
"338",27009951,4,95
"339",27009984,32,38
"340",27010020,1,1
"341",27010128,2,28
"342",27010155,2,61
"343",27010179,1,3
"344",27010189,6,20
"345",27010196,6,158
"346",27102243,13,50
"347",27102294,1,18
"348",27103792,42,1909
"349",27103806,9,180
"350",27103848,1,94
"351",27103856,1,41
"352",27149261,9,77
"353",27149264,3,22
"354",27149266,6,131
"355",27149272,2,65
"356",27149317,6,42
"357",27149319,26,819
"358",27149321,12,105
"359",27289587,149,7036
"360",27289994,61,2367
"361",27290127,4,58
"362",27290137,3,167
"363",27290191,18,518
"364",27290217,2,63
"365",27290327,1,82
"366",27290392,2,7
"367",27290454,1,1
"368",27290456,3,183
"369",27290486,1,3
"370",27290902,1,42
"371",27290952,2,10
"372",27291160,39,2944
"373",27291161,16,174
"374",27291249,3,726
"375",27291520,1,7
"376",27291749,1,4
"377",27292207,33,574
"378",27292604,18,993
"379",27292621,2,14
"380",27292798,15,525
"381",27292800,6,102
"382",27292811,1,1
"383",27292818,14,886
"384",27292822,17,553
"385",27292882,39,2120
"386",27292887,3,58
"387",27292888,16,828
"388",27292930,5,515
"389",27292937,1,17
"390",27292953,4,452
"391",27292960,1,56
"392",27292961,3,154
"393",27292963,2,503
"394",27292965,3,270
"395",27292966,1,36
"396",27292990,1,1
"397",27293091,12,568
"398",27293116,4,81
"399",27293190,4,169
"400",27293217,1,18
"401",27293293,3,151
"402",27426435,5,586
"403",27426474,1,35
"404",27426476,4,84
"405",27426477,7,114
"406",27426496,1,19
"407",27426548,9,421
"408",27426560,4,12
"409",27426567,4,45
"410",27426581,1,11
"411",27426592,1,75
"412",27426601,2,63
"413",27426611,4,65
"414",27426627,1,63
"415",27426633,6,666
"416",27426634,3,84
"417",27426640,1,61
"418",27426641,1,11
"419",27426645,2,13
"420",27426663,3,219
"421",27426667,2,24
"422",27426673,5,89
"423",27426684,1,17
"424",27426890,2,50
"425",27558118,8,40
"426",27558147,5,5
"427",27558273,52,3220
"428",28193881,29,556
"429",28193886,33,259
"430",28193999,36,1665
"431",28393864,1,3
"432",28393992,1,12
"433",28393998,1,19
"434",28394006,2,21
"435",28394013,3,244
"436",28394015,3,78
"437",28394033,1,1
"438",28394035,1,1
"439",28394056,2,40
"440",28394099,9,399
"441",28394176,1,22
"442",28394198,1,10
"443",28394209,1,9
"444",28394235,1,1
"445",28394263,2,3
"446",28394276,18,280
"447",28394279,11,129
"448",28394284,5,87
"449",28433689,2,60
"450",28433727,1,94
"451",28433776,1,39
"452",28590544,12,489
"453",28590556,1,11
"454",28590727,1,13
"455",28590809,3,135
"456",28590826,4,67
"457",28590851,4,70
"458",28590865,1,7
"459",28590927,1,14
"460",28593790,1,27
"461",28593894,12,2589
"462",28593976,1,12
"463",28593993,2,32
"464",28593997,2,64
"465",28594000,1,19
"466",28594021,2,32
"467",28618123,2,4
"468",28618235,2,41
"469",28618310,32,342
"470",28618311,2,56
"471",28618312,2,14
"472",28618313,9,274
"473",28618361,15,347
"474",28618362,30,875
"475",28785456,22,890
"476",28996911,17,657
"477",29035149,52,763
"478",29035150,80,5244
"479",29035151,176,1136
"480",29035153,173,713
"481",29036508,80,3840
"482",29036509,174,6611
"483",29036513,27,92
"484",29036514,41,152
"485",29036517,70,4278
"486",29036519,52,1676
"487",29036532,79,1134
"488",29036533,2,6
"489",29036535,2,23
"490",29036536,2,62
"491",29036537,57,218
"492",29036539,58,686
"493",29036540,84,451
"494",29036541,84,1563
"495",29036542,2,25
"496",29036543,59,171
"497",29036544,61,441
"498",29036545,66,305
"499",29036546,85,1105
"500",29036547,65,518
"501",29036551,23,157
"502",29036553,18,169
"503",29036554,17,20
"504",29036555,17,86
"505",30405423,5,288
"506",30405489,9,359
"507",30405528,9,567
"508",30405557,53,2850
"509",30405564,5,218
"510",30405598,3,195
"511",30405603,1,265
"512",30417985,11,377
"513",30417987,29,1123
"514",30417989,9,59
"515",30417990,36,1038
"516",30444185,1,26
"517",30911255,6,352
"518",30911261,27,588
"519",30911266,3,57
"520",30911268,2,33
"521",30911269,1,12
"522",30911273,1,2
"523",30911274,3,93
"524",30911275,1,15
"525",30911276,3,31
"526",30911278,13,526
"527",30911281,9,171
"528",30911283,23,1011
"529",30911284,22,592
"530",30912861,62,4751
"531",30912862,5,694
"532",30912863,3,144
"533",30912866,4,97
"534",30912867,31,1201
"535",30912868,2,262
"536",30912869,4,373
"537",30912870,19,706
"538",30912871,2,104
"539",30912872,4,626
"540",30912873,15,441
"541",30912874,24,652
"542",30912875,11,219
"543",30912876,19,398
"544",30912877,6,354
"545",30912878,9,586
"546",30912880,7,372
"547",30912881,14,254
"548",30912883,12,663
"549",30912884,3,88
"550",30912891,9,87
"551",30912892,10,163
"552",30912895,1,1
"553",30912896,2,44
"554",30912899,2,17
"555",30912901,3,15
"556",30912902,29,946
"557",30912904,1,15
"558",30912908,12,166
"559",30912910,1,2
"560",30912914,1,32
"561",30912915,1,1
"562",30912916,14,137
"563",30912917,8,57
"564",30912920,3,12
"565",30912922,2,93
"566",30912924,1,45
"567",30912925,1,1
"568",30912926,1,1
"569",30912927,4,11
"570",30912936,5,78
"571",30912941,1,6
"572",31060211,31,1534
"573",31060242,4,292
"574",31261920,1,88
"575",31396393,38,1514
"576",31396444,3,85
"577",31572903,17,133
"578",31573135,8,379
"579",31573198,6,278
"580",31573502,30,339
"581",31720901,10,456
"582",31721016,20,502
"583",31721081,13,420
"584",31721584,15,1114
"585",31983039,47,347
"586",34592005,9,280
"587",34597087,60,4435
"588",34597437,9,805
"589",34607103,5,289
"590",34607492,28,177
"591",34607518,17,1483
"592",34607524,23,235
"593",34607575,12,120
"594",34612905,1,21
"595",34613887,1,96
"596",34614186,1,100
"597",34627575,20,610
"598",34628257,93,7629
"599",34628269,9,690
"600",34628548,3,19
"601",34640002,1,14
"602",34644746,66,4186
"603",34647798,5,232
"604",34648522,5,36
"605",34653072,37,1676
"606",34683151,13,891
"607",34683791,26,143
"608",34684086,7,114
"609",34704921,3,6
"610",34704970,69,598
"611",34711004,77,1354
"612",34711126,102,3930
"613",34712768,26,285
"614",34731974,4,173
"615",34732006,2,23
"616",34732332,2,26
"617",34732363,1,16
"618",34771961,8,223
"619",34772223,26,1004
"620",34772371,36,2974
"621",34774629,128,1260
"622",34777927,16,108
"623",34777947,8,41
"624",34798406,48,88
"625",34851065,6,156
"626",34882567,6,162
"627",34884993,22,380
"628",34884995,3,60
"629",34885149,5,86
"630",34885150,15,461
"631",34885152,3,182
"632",34885153,1,7
"633",34916303,4,85
"634",34924667,1,7
"635",34924668,4,39
"636",34935294,2,6
"637",34935295,12,740
"638",34935361,1,6
"639",34954653,5,509
"640",34957039,2,2
"641",34957040,24,909
"642",34957041,17,542
"643",34968603,5,267
"644",34976568,13,684
"645",34988345,29,1277
"646",35002614,2,25
"647",35004484,1,11
"648",35006697,110,3399
"649",35006698,74,1618
"650",35011273,23,129
"651",35011275,25,311
"652",35012775,5,151
"653",35012795,2,20
"654",35012828,4,74
"655",35020741,3,25
"656",35021059,2,25
"657",35042700,6,85
"658",35043277,2,22
"659",35043279,2,17
"660",35043629,13,631
"661",35043631,19,384
"662",35043632,1,26
"663",35043633,3,25
"664",35044064,91,812
"665",35044065,91,273
"666",35044066,146,1666
"667",35044067,66,173
"668",35044068,20,328
"669",35044070,5,15
"670",35044071,5,58
"671",35044072,27,139
"672",35047581,154,8630
"673",35047582,145,308
"674",35047583,79,177
"675",35047585,80,1254
"676",35050305,16,142
"677",35078498,52,800
"678",35078499,96,1125
"679",35078500,241,17023
"680",35078501,103,4784
"681",35078502,87,753
"682",35078680,136,872
"683",35085950,14,188
"684",35104764,5,270
"685",35104968,16,916
"686",35104969,17,269
"687",35104970,9,105
"688",35105021,5,22
"689",35105022,39,1920
"690",35105603,7,180
"691",35112010,47,1970
"692",35112465,1,139
"693",35112469,1,57
"694",35112473,1,23
"695",35112603,6,101
"696",35139979,4,22
"697",35145152,50,1485
"698",35145153,86,3163
"699",35145272,113,4449
"700",35145521,433,23372
"701",35145522,65,151
"702",35168581,29,856
"703",35168583,5,267
"704",35168584,3,18
"705",35168903,15,397
"706",35168906,2,28
"707",35168907,1,3
"708",35170178,22,147
"709",35170179,15,19
"710",35171965,14,332
"711",35202691,1,4
"712",35203138,1,11
"713",35203145,1,22
"714",35203184,1,11
"715",35203185,2,2
"716",35203817,23,1041
"717",35205231,7,193
"718",35229256,4,102
"719",35260648,16,223
"720",35260649,39,256
"721",35260650,5,91
"722",35260651,28,56
"723",35261109,2,44
"724",35330652,3,5
"725",35330759,1,1
"726",35330760,2,61
"727",35331288,23,1573
"728",35331289,1,1
"729",35331290,16,95
"730",35331292,6,140
"731",35331293,25,377
"732",35331294,23,63
"733",35331299,4,81
"734",35331409,3,22
"735",35331594,25,117
"736",35379620,1,5
"737",35379621,1,12
"738",35379623,6,35
"739",35380132,2,20
"740",35382876,11,365
"741",35382877,2,4
"742",35382878,2,6
"743",35382879,2,3
"744",35382885,2,11
"745",35382888,2,2
"746",35382893,3,12
"747",35382898,2,4
"748",35382900,2,11
"749",35382988,7,67
"750",35383635,3,139
"751",35384499,87,2750
"752",35384647,86,2045
"753",35384689,80,1867
"754",35385034,8,113
"755",35413114,12,55
"756",35413711,25,158
"757",35413712,25,151
"758",35413714,24,27
"759",35413715,54,394
"760",35413716,27,78
"761",35413718,17,232
"762",35413719,16,134
"763",35413720,7,68
"764",35413995,7,112
"765",35413996,25,525
"766",35413997,15,57
"767",35414000,9,34
"768",35414001,23,115
"769",35416640,1,43
"770",35429390,1,21
"771",35443468,5,101
"772",35443470,1,16
"773",35443471,12,1089
"774",35443473,17,646
"775",35446605,86,1614
"776",35446606,78,681
"777",35446849,10,751
"778",35447219,8,33
"779",35447220,6,331
"780",35474000,12,60
"781",35474001,3,4
"782",35474004,8,312
"783",35474708,26,497
"784",35474709,22,54
"785",35475028,34,1654
"786",35539397,20,26
"787",35539503,20,193
"788",35539786,21,407
"789",35541709,32,312
"790",35541722,21,210
"791",35546836,10,385
"792",35565170,1,49
"793",35725581,1,8
"794",35725587,19,1138
"795",35727408,17,254
"796",35727410,23,758
"797",35731436,4,15
"798",35731561,4,137
"799",35731564,2,12
"800",35731605,4,101
"801",35732205,2,31
"802",35744643,1,27
"803",35770755,8,25
"804",35997529,60,2882
"805",35997762,78,175
"806",35997763,74,7565
"807",35997812,11,192
"808",36001071,23,432
"809",36196379,7,33
"810",36268628,8,270
"811",36268629,4,63
"812",36268630,4,35
"813",36268853,1,1
"814",36355475,2,3
"815",36355828,2,46
"816",36357160,2,376
"817",36406765,2,9
"818",36406769,2,36
"819",36561813,6,115
"820",36561816,20,679
"821",36579873,26,394
"822",36740122,9,57
"823",36747397,2,66
"824",36748084,66,4080
"825",36748085,10,896
"826",36824719,1,17
"827",36835345,1,29
"828",36835675,8,77
"829",36835962,7,451
"830",36835963,2,129
"831",36835964,1,43
"832",36835965,5,5
"833",36835967,3,16
"834",36835969,6,141
"835",36835972,6,394
"836",36835973,4,4
"837",36836028,1,4
"838",36836029,2,11
"839",36836033,1,95
"840",36836039,3,109
"841",36836044,4,62
"842",36836045,1,9
"843",36836048,1,14
"844",36836104,2,18
"845",36836248,10,361
"846",36836250,26,341
"847",36836258,35,1622
"848",36905352,39,3789
"849",36921603,3,3
"850",36921605,1,1
"851",36921606,1,14
"852",36921607,2,10
"853",36921783,5,58
"854",36921784,2,28
"855",36921787,4,116
"856",36921788,2,22
"857",36921789,5,43
"858",36921791,5,47
"859",36921792,21,1072
"860",36922143,4,180
"861",36922144,10,554
"862",36922145,1,22
"863",36922146,1,29
"864",36928560,8,57
"865",36928561,20,902
"866",36928562,19,1291
"867",36928564,4,162
"868",36928565,5,159
"869",36928619,2,3
"870",36938663,8,936
"871",36938667,1,18
"872",36965446,23,659
"873",36979228,172,21664
"874",36996350,1,5
"875",36996353,17,453
"876",36996354,10,366
"877",36996745,9,602
"878",36996746,43,7313
"879",36996747,20,934
"880",36996748,33,436
"881",36996749,29,620
"882",36997782,1,2
"883",36997786,2,2
"884",36997787,1,1
"885",37092216,12,3358
"886",37092314,3,7
"887",37111744,2,45
"888",37112930,3,31
"889",37112931,11,506
"890",37112932,1,2
"891",37112935,3,801
"892",37112939,4,15
"893",37113027,21,25
"894",37113028,66,521
"895",37113029,113,709
"896",37113031,65,298
"897",37113032,2,3
"898",37120131,30,1711
"899",37120133,19,736
"900",37120135,23,514
"901",37120542,7,48
"902",37120543,7,45
"903",37120544,7,67
"904",37120545,7,201
"905",37141967,1144,95931
"906",37141968,112,12396
"907",37141970,242,7925
"908",37141971,79,2851
"909",37141972,10,217
"910",37141973,3,519
"911",37141974,30,1812
"912",37141975,2,144
"913",37141976,2,4
"914",37141977,10,174
"915",37141978,1,69
"916",37141979,22,944
"917",37141980,8,1920
"918",37141981,3,128
"919",37141982,8,372
"920",37141983,2,24
"921",37141985,3,12
"922",37142500,39,932
"923",37142655,92,3796
"924",37143412,64,2372
"925",37143413,17,152
"926",37143414,2,10
"927",37194468,7,598
"928",37202411,1,189
"929",37202416,1,28
"930",37221650,9,155
"931",37221655,5,27
"932",37221656,5,30
"933",37221657,5,164
"934",37221658,8,216
"935",37262659,1,1
"936",37338732,198,804
"937",37338733,400,15103
"938",37338734,34,968
"939",37338735,1,25
"940",37345789,5,74
"941",37345790,4,23
"942",37345791,11,99
"943",37345792,16,224
"944",37345793,11,514
"945",37352974,7,368
"946",37352975,8,140
"947",37406652,43,687
"948",37406655,2,17
"949",37413317,8,11
"950",37855519,4,164
"951",37855520,4,282
"952",37855521,4,225
"953",37855523,11,480
"954",37855525,8,194
"955",37855526,5,80
"956",37855527,4,323
"957",37855528,2,6
"958",37855529,1,4
"959",37855530,1,1
"960",37855531,9,43
"961",37856053,27,94
"962",37856479,3,93
"963",37856480,4,396
"964",37856481,2,316
"965",37856482,3,67
"966",37856707,4,32
"967",37856708,1,27
"968",37856823,88,14760
"969",37856824,22,96
"970",37856825,28,581
"971",37856966,2,60
"972",37856967,3,164
"973",37856970,1,30
"974",37856971,1,10
"975",37857250,2,2
"976",37857251,1,29
"977",37857252,1,1
"978",37857253,4,241
"979",37857256,1,8
"980",37857260,1,21
"981",37914793,1,8
"982",37914795,1,5
"983",37914796,1,2
"984",37914797,2,85
"985",37914798,2,11
"986",37914800,2,127
"987",37915263,1,11
"988",37915264,7,54
"989",37915266,1,1
"990",37915267,1,55
"991",37915268,2,20
"992",37916215,31,374
"993",37916216,13,305
"994",37916217,22,207
"995",37916218,6,49
"996",37916219,8,163
"997",37916220,28,1278
"998",37916221,20,155
"999",37937528,5,140
"1000",37937529,4,513
"1001",37937530,6,21
"1002",37937531,3,9
"1003",37937532,10,245
"1004",37937534,2,10
"1005",37956817,25,102
"1006",37956823,21,70
"1007",38001349,20,244
"1008",38001351,9,62
"1009",38001352,3,9
"1010",38080329,3,89
"1011",38082548,22,1854
"1012",38082558,37,1604
"1013",38083514,4,51
"1014",38336627,8,207
"1015",38336628,55,3199
"1016",38336633,44,1361
"1017",38336634,12,389
"1018",38336636,9,476
"1019",38336637,23,548
"1020",38336638,16,1137
"1021",38336641,2,91
"1022",38336643,4,77
"1023",38336644,19,446
"1024",39546381,1,11
"1025",39548910,11,97
"1026",39549246,1,3
"1027",39549247,4,18
"1028",39549565,1,19
"1029",39549792,1,4
"1030",39550749,1,8
"1031",39586894,1,1
"1032",39586944,18,43
"1033",39587009,1,1
"1034",39587108,1,1
"1035",39587490,1,1
"1036",39590128,1,1
"1037",39597607,2,68
"1038",39597692,3,88
"1039",39597779,1,8
"1040",39597832,5,179
"1041",39597960,1,6
"1042",39598055,2,13
"1043",39598232,9,424
"1044",39598458,5,67
"1045",39598605,1,1
"1046",39598629,2,45
"1047",39598786,1,27
"1048",39598863,17,2494
"1049",39598880,1,57
"1050",39601146,29,2322
"1051",39607639,6,259
"1052",39607829,13,373
"1053",39607841,12,442
"1054",39607956,27,490
"1055",39608490,30,958
"1056",39608733,9,268
"1057",39608754,7,178
"1058",39608833,1,129
"1059",39608973,4,20
"1060",39608992,4,42
"1061",39609163,3,3
"1062",39631877,3,55
"1063",39632852,15,501
"1064",39633008,3,77
"1065",39633344,26,822
"1066",39633589,4,37
"1067",39633790,5,201
"1068",39633884,3,89
"1069",39635136,1,10
"1070",39635151,5,14
"1071",39650114,1,9
"1072",39650163,1,1
"1073",39650208,1,4
"1074",39650861,1,15
"1075",39651761,1,3
"1076",39652032,1,1
"1077",39653306,1,31
"1078",39653580,1,23
"1079",39653923,1,57
"1080",39653956,1,1
"1081",39654094,41,156
"1082",39654345,50,4403
"1083",39657916,1,8
"1084",39657990,4,40
"1085",39657991,10,322
"1086",39658073,1,1
"1087",39658831,3,193
"1088",39668434,3,459
"1089",39669069,5,139
"1090",39669178,1,20
"1091",39669207,2,130
"1092",39669380,2,596
"1093",39670022,3,31
"1094",39670043,1,36
"1095",39670412,12,138
"1096",39670422,7,436
"1097",39670508,13,1420
"1098",39670518,12,398
"1099",39670525,4,622
"1100",39679530,1,136
"1101",39679893,9,252
"1102",39679967,17,1567
"1103",39685406,1,1
"1104",39690284,9,160
"1105",39690472,1,26
"1106",39701846,14,5152
"1107",39846855,5,12
"1108",39862511,5,66
"1109",39862802,1,10
"1110",39865747,16,27
"1111",39865748,1,20
"1112",39888049,3,141
"1113",39888118,1,25
"1114",39888368,1,1
"1115",39888372,2,155
"1116",39888400,1,14
"1117",39894728,6,35
"1118",39895267,5,149
"1119",39895274,4,161
"1120",39895276,1,84
"1121",39895279,1,48
"1122",39895281,1,52
"1123",39895285,25,2670
"1124",39895287,4,31
"1125",39895290,6,149
"1126",39895304,2,65
"1127",39896043,3,147
"1128",39896053,1,324
"1129",39896732,2,9
"1130",39896739,4,66
"1131",39911736,1,4
"1132",39911740,1,2
"1133",39911751,14,482
"1134",39911779,10,370
"1135",39911793,1,18
"1136",39911797,1,9
"1137",39911803,1,1
"1138",39911810,2,11
"1139",39911832,10,157
"1140",39914653,1,26
"1141",39915326,2,43
"1142",39915333,1,18
"1143",39920767,4,159
"1144",39928988,1,6
"1145",39928991,5,599
"1146",39929092,2,337
"1147",39935185,1,4
"1148",39935186,3,233
"1149",39935632,3,347
"1150",39977603,3,1296
"1151",39977605,1,7
"1152",39977753,4,217
"1153",39977994,12,2239
"1154",39978078,6,712
"1155",39980052,1,937
"1156",39980054,1,59
"1157",39991044,1,1537
"1158",39991045,2,36
"1159",39991046,3,746
"1160",39991053,1,395
"1161",39991054,1,764
"1162",39991527,1,33
"1163",39991528,1,27
"1164",39991532,2,18
"1165",39991718,1,54
"1166",39992138,1,294
"1167",39992141,2,25
"1168",39992143,1,31
"1169",39992145,1,1
"1170",40035865,1,8
"1171",40036519,1,1
"1172",40405026,12,40
"1173",40405027,13,241
"1174",40405028,18,63
"1175",40405029,22,978
"1176",40405032,1,24
"1177",40405033,11,255
"1178",40405036,24,440
"1179",40405038,5,15
"1180",40405039,26,247
"1181",40405040,33,76
"1182",40555769,1,24
"1183",40585814,1,26
"1184",40585816,1,15
"1185",40585818,1,21
"1186",40589810,2,11
"1187",40589811,8,71
"1188",40589812,2,59
"1189",40589815,1,51
"1190",40589823,2,2
"1191",40589829,1,10
"1192",40589830,1,25
"1193",40590099,4,89
"1194",40643195,4,391
"1195",40643208,1,31
"1196",40643217,2,30
"1197",40769483,1,16
"1198",40769495,2,84
"1199",40769511,1,3
"1200",40829989,4,148
"1201",40868760,2,49
"1202",40868781,3,360
"1203",40869529,1,18
"1204",40893737,3,43
"1205",40893739,1,21
"1206",40893744,8,91
"1207",40893746,2,78
"1208",40893747,2,10
"1209",40893753,5,100
"1210",40893757,4,19
"1211",40893759,4,6
"1212",40893762,15,961
"1213",40900871,2,800
"1214",40900872,2,2
"1215",40900874,2,4
"1216",40900901,2,4303
"1217",40900904,5,312
"1218",40900905,4,7
"1219",40900912,2,51
"1220",40900915,2,146
"1221",40900919,44,17028
"1222",40900922,8,26
"1223",40900923,2,9
"1224",40900924,6,2606
"1225",40902290,8,537
"1226",40905680,1,87
"1227",40905681,1,15
"1228",40905682,1,30
"1229",41018364,1,9
"1230",41018365,1,1
"1231",41018367,3,59
"1232",41018369,1,135
